іс,-s---mn--i
і,---------n
рече,3saia----i
імъ,3p---md--i
разоріте,2ppma----i
цръковь,-s---fa--i
сіѭ,-s---fa--i
і,---------n
трьмі,-p---qi--i
дьнъі,-p---mi--i
вьздвігнѫ,1spia----i
ѭ,3s---fa--i
рѣшѧ,3paia----i
же,---------n
іюдѣі,-p---mn--i
четъірьмі,-p---pi--i
десѧтъі,-p---pi--i
і,---------n
шестіѭ,-s---fi--i
лѣтъ,-p---ng--i
съзъдана,-suppfn-si
бъіс,3saia----i
цркъі,-s---fn--i
сі,-s---fn--i
і,---------n
тъі,2s---qn--i
лі,---------n
трьмі,-p---qi--i
дьнъі,-p---mi--i
вьздвігнеші,2spia----i
ѭ,3s---fa--i
онъ,-s---mn--i
же,---------n
глааше,3siia----i
о,---------n
цръкъві,-s---fl--i
тѣла,-s---ng--i
своего,3s---og--i
егда,---------n
оубо,---------n
въста,3saia----i
отъ,---------n
мрътвъіхъ,-p---mgpwi
помѧнѫшѧ,3paia----i
оученіці,-p---mn--i
его,3s---mg--i
ѣкоже,---------n
глааше,3siia----i
і,---------n
вѣрѫ,-s---fa--i
ѧшѧ,3paia----i
кънігамъ,-p---fd--i
і,---------n
словесі,-s---nd--i
еже,-s---na--i
рече,3saia----i
іс,-s---mn--i
егда,---------n
бѣ,3siia----i
въ,---------n
іілмѣхъ,-p---ml--i
въ,---------n
пасха,-s---fn--i
въ,---------n
праздьнікъ,-s---ma--i
мънозі,-p---mnpsi
вѣровашѧ,3paia----i
въ,---------n
імѧ,-s---na--i
его,3s---mg--i
відѧште,-pppamn-si
знаменьѣ,-p---na--i
его,3s---mg--i
ѣже,-p---na--i
творѣаше,3siia----i
самъ,-s---mn--i
же,---------n
іс,-s---mn--i
не,---------n
въдааше,3siia----i
себе,3s---qg--i
въ,---------n
вѣрѫ,-s---fa--i
іхъ,3p---mg--i
імьже,-s---mi--i
самъ,-s---mn--i
вѣдѣаше,3siia----i
вьсе,-s---nn--i
і,---------n
ѣко,---------n
не,---------n
трѣбоваше,3siia----i
да,---------n
къто,-s---qn--i
съвѣдѣтельствоуетъ,3spia----i
о,---------n
чцѣ,-s---ml--i
самъ,-s---mn--i
бо,---------n
вѣдѣаше,3siia----i
чьто,-s---nn--i
бѣ,3siia----i
въ,---------n
чцѣ,-s---ml--i
бѣ,3siia----i
чкъ,-s---mn--i
отъ,---------n
фарісѣі,-p---mg--i
нікодімъ,-s---mn--i
імѧ,-s---nn--i
емоу,3s---md--i
кънѧзь,-s---mn--i
іюдеіскъ,-s---mnpsi
сь,-s---mn--i
пріде,3saia----i
къ,---------n
немоу,3s---md--i
ноштіѭ,-s---fi--i
і,---------n
рече,3saia----i
емоу,3s---md--i
равві,---------n
вѣмь,1ppia----i
ѣко,---------n
отъ,---------n
ба,-s---mg--i
прішьлъ,-sspamn-si
есі,2spia----i
оучітель,-s---mn--i
нікътоже,-s---qn--i
бо,---------n
не,---------n
можетъ,3spia----i
знамені,-s---md--i
сіхъ,-p---qg--i
творіті,--pna----i
ѣже,-p---na--i
тъі,2s---qn--i
сътворіші,2spia----i
аште,---------n
не,---------n
бѫдетъ,3sfia----i
бъ,-s---mn--i
съ,---------n
німь,3s---mi--i
отъвѣшта,3saia----i
іс,-s---mn--i
і,---------n
рече,3saia----i
емоу,3s---md--i
амін,---------n
амін,---------n
глѭ,1spia----i
тебѣ,2s---qd--i
аште,---------n
къто,-s---qn--i
не,---------n
родітъ,3spia----i
сѧ,3s---qa--i
съвъіше,---------n
не,---------n
можетъ,3spia----i
відѣті,--pna----i
црсіѣ,-s---ng--i
бжіѣ,-s---ngpsi
гла,3saia----i
къ,---------n
немоу,3s---md--i
нікодімъ,-s---mn--i
како,---------n
можетъ,3spia----i
чкъ,-s---mn--i
родіті,--pna----i
сѧ,3s---qa--i
старъ,-s---mnpsi
съі,-sppamn-si
еда,---------n
можетъ,3spia----i
въторіцеѭ,---------n
въ,---------n
ѫтробѫ,-s---fa--i
вьлѣсті,--pna----i
матере,-s---fg--i
своеѧ,3s---fg--i
і,---------n
родіті,--pna----i
сѧ,3s---qa--i
отъвѣшта,3saia----i
іс,-s---mn--i
амін,---------n
амін,---------n
глѭ,1spia----i
тебѣ,2s---qd--i
аште,---------n
къто,-s---qn--i
не,---------n
родітъ,3spia----i
сѧ,3s---qa--i
водоѭ,-s---fi--i
і,---------n
дхомь,-s---mi--i
не,---------n
можетъ,3spia----i
вьніті,--pna----i
вь,---------n
црсіе,-s---nn--i
бжіе,-s---nnpsi
рожденъ,-s---mnpsi
отъ,---------n
плъті,-s---fd--i
плъть,-s---fn--i
естъ,3spia----i
і,---------n
рождено,-suppnn-si
отъ,---------n
дха,-s---mg--i
дхъ,-s---mn--i
естъ,3spia----i
не,---------n
чоуді,3saia----i
сѧ,3s---qa--i
ѣко,---------n
рѣхъ,1saia----i
ті,2s---qd--i
подобаетъ,3spia----i
вамъ,2p---qd--i
родіті,--pna----i
сѧ,3s---qa--i
съвъіше,---------n
дхъ,-s---mn--i
ідеже,---------n
хоштетъ,3spia----i
доушетъ,3spia----i
і,---------n
гласъ,-s---ma--i
его,3s---mg--i
слъішіші,2spia----i
нъ,---------n
не,---------n
вѣсі,2spia----i
отъкѫдоу,---------n
пріходітъ,3spia----i
і,---------n
камо,---------n
ідетъ,3spia----i
тако,---------n
естъ,3spia----i
рожденъі,-suppmn-wi
отъ,---------n
дха,-s---mg--i
отъвѣшта,3saia----i
нікодімъ,-s---mn--i
і,---------n
рече,3saia----i
емоу,3s---md--i
како,---------n
могѫтъ,3ppia----i
сі,-p---nn--i
бъіті,--pna----i
отъвѣшта,3saia----i
іс,-s---mn--i
і,---------n
рече,3saia----i
емоу,3s---md--i
тъі,2s---qn--i
есі,2spia----i
оучітель,-s---mn--i
ілевъ,-s---mnpsi
і,---------n
сіхъ,-p---nl--i
лі,---------n
не,---------n
вѣсі,2spia----i
амін,---------n
амін,---------n
глѭ,1spia----i
тебѣ,2s---qd--i
ѣко,---------n
еже,-s---na--i
вѣмь,1ppia----i
глемъ,1ppia----i
і,---------n
еже,-s---na--i
дастъ,3saia----i
въ,---------n
рѫцѣ,-d---fa--i
его,3s---mg--i
вѣроуѧі,-sppamn-wi
въ,---------n
сна,-s---mg--i
іматъ,3spia----i
жівотъ,-s---ma--i
вѣчьнъі,-s---mapwi
а,---------n
іже,-s---mn--i
не,---------n
вѣроуетъ,3spia----i
въ,---------n
сна,-s---mg--i
не,---------n
оузьрітъ,3spia----i
жівота,-s---mg--i
нъ,---------n
гнѣвъ,-s---mn--i
бжі,-s---mnpsi
прѣбъіваетъ,3spia----i
на,---------n
немь,3s---ml--i
егда,---------n
же,---------n
оуслъіша,3saia----i
гь,-s---mn--i
ко,---------n
оуслъішашѧ,3paia----i
фарісеі,-p---mn--i
ѣко,---------n
іс,-s---mn--i
множаішѧ,-p---fncsi
оученікъі,-p---ma--i
творітъ,3spia----i
і,---------n
крьштаетъ,3spia----i
неже,---------n
іоанъ,-s---mn--i
іс,-s---mn--i
самъ,-s---mn--i
не,---------n
крьштааше,3siia----i
нъ,---------n
оученіці,-p---mn--i
его,3s---mg--i
оставі,3saia----i
іюдеѫ,-s---fa--i
і,---------n
іде,3saia----i
пакъі,---------n
въ,---------n
галілеѭ,-s---fa--i
достоѣше,3siia----i
емоу,3s---md--i
проіті,--pna----i
сквозѣ,---------n
самаріѭ,-s---fa--i
пріде,3saia----i
же,---------n
въ,---------n
градъ,-s---ma--i
самарьскъ,-s---mapsi
наріцаемъі,-spppma-wi
соухарь,-s---ma--i
іскрь,---------n
вьсі,-p---mn--i
ѭже,-s---fa--i
дастъ,3spia----i
іѣковъ,-s---mn--i
іосіфоу,-s---md--i
сноу,-s---md--i
своемоу,3s---od--i
бѣ,3siia----i
же,---------n
тоу,---------n
кладѧзь,-s---ma--i
іѣковль,-s---mapsi
іс,-s---mn--i
же,---------n
троуждь,-supamn-si
сѧ,3s---qa--i
отъ,---------n
пѫті,-s---ml--i
сѣдѣаше,3siia----i
тако,---------n
на,---------n
кладѧзі,2spma----i
часъ,-s---ma--i
бѣ,3siia----i
ѣко,---------n
шестъі,-s---mn--i
пріде,3saia----i
жена,-s---fn--i
отъ,---------n
самаріѧ,-s---fg--i
почрѣтъ,---u--a--i
водъі,-s---fg--i
гла,3saia----i
еі,3s---fd--i
іс,-s---mn--i
даждь,2spma----i
мі,1s---qd--i
піті,--pna----i
оученіці,-p---mn--i
бо,---------n
его,3s---mg--i
ошьлі,-pspamn-si
бѣахѫ,3piia----i
въ,---------n
градъ,-s---ma--i
да,---------n
брашьна,-s---ng--i
коупѧтъ,3ppia----i
гла,3saia----i
же,---------n
емоу,3s---md--i
жена,-s---fn--i
самарѣнъіні,-s---fn--i
како,---------n
тъі,2s---qn--i
іюдеі,-s---mn--i
съі,-sppamn-si
отъ,---------n
мене,1s---qg--i
піті,--pna----i
просіші,2spia----i
женъі,-s---fg--i
самарѣнъінѧ,-s---fg--i
сѫштѧ,-sppafg-si
не,---------n
прікасаѭтъ,3ppia----i
бо,---------n
сѧ,3s---qa--i
іюдеі,-p---mn--i
самарѣнехъ,-p---ml--i
отъвѣшта,3saia----i
іс,-s---mn--i
і,---------n
рече,3saia----i
еі,3s---fd--i
аште,---------n
бі,2spsa----i
вѣдѣла,-sspafn-si
даръ,-s---ma--i
бжі,-p---mnpsi
і,---------n
къто,-s---qn--i
естъ,3spia----i
глѧі,-sppamn-wi
ті,2s---qd--i
даждь,2spma----i
мі,1s---qd--i
піті,--pna----i
тъі,2s---qn--i
і,---------n
просіла,-sspafn-si
оу,---------n
него,3s---mg--i
і,---------n
далъ,-sspamn-si
ті,2s---qd--i
бі,3spsa----i
водѫ,-s---fa--i
жівѫ,-s---fapsi
гла,3saia----i
емоу,3s---md--i
жена,-s---fn--i
гі,-s---mv--i
ні,---------n
почръпальніка,-s---mg--i
імаші,2spia----i
і,---------n
кладѧзь,-s---ma--i
естъ,3spia----i
глѫбокъ,-s---mnpsi
отъкѫдоу,---------n
оубо,---------n
есі,2spia----i
оца,-s---mg--i
нашего,1s---og--i
іѣкова,-s---mg--i
іже,-s---mn--i
дастъ,3saia----i
намъ,1p---qd--i
кладѧзь,-s---ma--i
і,---------n
тъ,-s---mn--i
іж,---------n
него,3s---mg--i
пітъ,3saia----i
і,3s---ma--i
снове,-p---mn--i
его,3s---mg--i
і,---------n
скоті,-p---mn--i
его,3s---mg--i
отъвѣшта,3saia----i
іс,-s---mn--i
і,---------n
рече,3saia----i
еі,3s---fd--i
вьсѣкъ,-s---mnpsi
піѧі,-sppamn-wi
отъ,---------n
водъі,-s---fg--i
сеѧ,-s---fg--i
вьждѧждетъ,3spia----i
сѧ,3s---qa--i
пакъі,---------n
а,---------n
іже,-s---mn--i
піетъ,3spia----i
отъ,---------n
водъі,-s---fg--i
ѭже,-s---fa--i
азъ,1s---qn--i
дамь,1spia----i
емоу,3s---md--i
не,---------n
іматъ,3spia----i
въждѧдаті,--pna----i
сѧ,3s---qa--i
въ,---------n
вѣкъ,-s---ma--i
нъ,---------n
вода,-s---fn--i
ѭже,-s---fa--i
азъ,1s---qn--i
дамь,1spia----i
емоу,3s---md--i
бѫдетъ,3sfia----i
вь,---------n
немь,3s---ml--i
істочьнікъ,-s---mn--i
водъі,-s---fg--i
вьслѣплѫштѫѭ,-s---fapwi
въ,---------n
жівотъ,-s---ma--i
вѣчьнъі,-s---mapwi
гла,3saia----i
къ,---------n
немоу,3s---md--i
жена,-s---fn--i
гі,-s---mv--i
даждь,2spma----i
мі,1s---qd--i
сіѭ,-s---fa--i
водѫ,-s---fa--i
да,---------n
ні,---------n
жѧждѫ,1spia----i
ні,---------n
пріхождѫ,1spia----i
сѣмо,---------n
почръпатъ,---u--a--i
гла,3saia----i
еі,3s---fd--i
іс,-s---mn--i
іді,2spma----i
прігласі,3saia----i
мѫжа,-s---mg--i
своего,3s---og--i
і,---------n
пріді,2spma----i
сѣмо,---------n
отъвѣшта,3saia----i
жена,-s---fn--i
і,---------n
рече,3saia----i
емоу,3s---md--i
не,---------n
імамь,1spia----i
мѫжа,-s---mg--i
гла,3saia----i
еі,3s---fd--i
іс,-s---mn--i
добрѣ,-------p-i
рече,3saia----i
ѣко,---------n
мѫжа,-s---mg--i
не,---------n
імамь,1spia----i
пѧть,-s---fa--i
бо,---------n
мѫжь,-p---mg--i
імѣла,-sspafn-si
есі,2spia----i
і,---------n
нъінѣ,---------n
егоже,-s---mg--i
імаші,2spia----i
нѣстъ,3spia----i
ті,2s---qd--i
мѫжь,-s---mn--i
се,-s---na--i
въ,---------n
істінѫ,-s---fa--i
рече,3saia----i
гла,3saia----i
емоу,3s---md--i
жена,-s---fn--i
гі,-s---mv--i
віждѫ,1spia----i
ѣко,---------n
пророкъ,-s---mn--i
есі,2spia----i
тъі,2s---qn--i
оці,-p---mn--i
наші,1p---mn--i
въ,---------n
горѣ,-s---fl--i
сеі,-s---fl--i
поклонішѧ,3paia----i
сѧ,3s---qa--i
і,---------n
въі,2p---qn--i
глете,2ppia----i
ѣко,---------n
въ,---------n
ермѣхъ,-p---ml--i
естъ,3spia----i
мѣсто,-s---na--i
ідеже,---------n
кланѣті,--pna----i
сѧ,3s---qa--i
подобаетъ,3spia----i
гла,3saia----i
еі,3s---fd--i
іс,-s---mn--i
жено,-s---fv--i
вѣрѫ,-s---fa--i
мі,1s---md--i
імі,2spma----i
ѣко,---------n
грѧдетъ,3spia----i
часъ,-s---ma--i
егда,---------n
ні,---------n
горѣ,-s---fd--i
сеі,-s---fd--i
ні,---------n
въ,---------n
ерлмѣхъ,-p---ml--i
поклоніте,2ppia----i
сѧ,3s---qa--i
оцоу,-s---md--i
дхомь,-s---mi--i
і,---------n
істіноѭ,-s---fi--i
ібо,---------n
оць,-s---mn--i
тацѣхъ,-p---mg--i
іштетъ,3spia----i
кланѣѭштіхъ,-pppamg-wi
сѧ,3s---qa--i
емоу,3s---md--i
дхъ,-s---mn--i
бо,---------n
естъ,3spia----i
бъ,-s---mn--i
іже,-s---mn--i
кланѣетъ,3spia----i
сѧ,3s---qa--i
емоу,3s---md--i
дхомь,-s---mi--i
і,---------n
істіноѭ,-s---fi--i
достоітъ,3spia----i
кланѣті,--pna----i
сѧ,3s---qa--i
гла,3saia----i
емоу,3s---md--i
жена,-s---fn--i
вѣмь,1spia----i
ѣко,---------n
месіѣ,-s---mn--i
прідетъ,3spia----i
рекомъі,-spppmn-wi
хъ,-s---mn--i
егда,---------n
тъ,-s---mn--i
прідетъ,3spia----i
вьзвѣстітъ,3spia----i
намъ,1p---qd--i
всѣ,-p---na--i
гла,3saia----i
еі,3s---fd--i
іс,-s---mn--i
азъ,1s---qn--i
есмь,1spia----i
глѧі,-sppamn-wi
съ,---------n
тобоѭ,2s---qi--i
і,---------n
тогдажде,---------n
прідѫ,3paia----i
оученіці,-p---mn--i
его,3s---mg--i
і,---------n
чоуждаахѫ,3piia----i
сѧ,3s---qa--i
ѣко,---------n
съ,---------n
женоѭ,-s---fi--i
глааше,3siia----i
і,---------n
нікътоже,-s---qn--i
не,---------n
рече,3saia----i
чесо,-s---ng--i
іштеші,2spia----i
ілі,---------n
чьто,-s---na--i
глеші,2spia----i
съ,---------n
неѭ,3s---fi--i
оставі,3saia----i
же,---------n
водоносъ,-s---ma--i
своі,3s---ma--i
жена,-s---fn--i
і,---------n
іде,3saia----i
въ,---------n
градъ,-s---ma--i
і,---------n
гла,3saia----i
чкомъ,-p---md--i
прідѣте,2ppma----i
і,---------n
відіте,2ppma----i
чка,-s---mg--i
іже,-s---mn--i
рече,3saia----i
мі,1s---qd--i
вьсѣ,-p---na--i
еліко,---------n
сътворіхъ,1saia----i
еда,---------n
тъ,-s---mn--i
естъ,3spia----i
хъ,-s---mn--i
ізідѫ,3paia----i
же,---------n
із,---------n
града,-s---mg--i
і,---------n
грѧдѣахѫ,3piia----i
къ,---------n
немоу,3s---md--i
междоу,---------n
же,---------n
сімь,-s---oi--i
молѣахѫ,3piia----i
і,---------n
оученіці,-p---mn--i
его,3s---mg--i
глѭште,-pppamn-si
равві,---------n
ѣждь,2spma----i
онъ,-s---mn--i
же,---------n
рече,3saia----i
къ,---------n
німъ,3p---md--i
азъ,1s---qn--i
брашьно,-s---na--i
імамь,1spia----i
ѣсті,--pna----i
егоже,-s---ng--i
въі,2p---qn--i
не,---------n
вѣсте,2ppia----i
глахѫ,3piia----i
же,---------n
оученіці,-p---mn--i
къ,---------n
себѣ,3s---qd--i
еда,---------n
къто,-s---qn--i
прінесе,3saia----i
емоу,3s---md--i
ѣсті,--pna----i
гла,3saia----i
імъ,3p---md--i
іс,-s---mn--i
мое,1s---nn--i
брашьно,-s---nn--i
естъ,3spia----i
да,---------n
творѭ,1spia----i
волѭ,-s---fa--i
посълавъшаего,-supamg-wi
мѧ,1s---qa--i
і,---------n
съвръшѫ,1spia----i
дѣло,-s---na--i
его,3s---mg--i
не,---------n
въі,2p---qn--i
лі,---------n
глете,2ppia----i
ѣко,---------n
еште,---------n
четъіре,-p---mn--i
мѣсѧці,-p---mn--i
сѫтъ,3ppia----i
і,---------n
жѧтва,-s---fn--i
прідетъ,3spia----i
се,---------n
глѭ,1spia----i
вамъ,2p---qd--i
вьзведѣте,2ppma----i
очі,-d---na--i
ваші,2d---ra--i
і,---------n
відіте,2ppma----i
нівъі,-p---fn--i
ѣко,---------n
плавъі,-p---fnpsi
сѫтъ,3ppia----i
къ,---------n
жѧтвѣ,-s---fd--i
юже,---------n
і,---------n
жьнѧі,-sppamn-wi
мьздѫ,-s---fa--i
пріемлетъ,3spia----i
і,---------n
събіраетъ,3spia----i
плодъ,-s---mn--i
жівотънъі,-s---mnpwi
да,---------n
сѣѧі,-sppamn-wi
въкоупѣ,---------n
радоуетъ,3spia----i
сѧ,3s---qa--i
і,---------n
жьнѧі,-sppamn-wi
о,---------n
семь,-s---nl--i
бо,---------n
слово,-s---nn--i
естъ,3spia----i
істінъное,-s---napwi
ѣко,---------n
інъ,-s---mn--i
естъ,3spia----i
сѣѧі,-sppamn-wi
і,---------n
інъ,-s---mn--i
естъ,3spia----i
жьнѧі,-sppamn-wi
азъ,1s---qn--i
же,---------n
посълахъ,1saia----i
въі,2p---qa--i
жѧтъ,---u--a--i
ідеже,---------n
въі,2p---qn--i
не,---------n
троудісте,2paia----i
сѧ,3s---qa--i
іні,-p---mn--i
троудішѧ,3paia----i
сѧ,3s---qa--i
і,---------n
въі,2p---qn--i
въ,---------n
троудъ,-p---mg--i
іхъ,3p---mg--i
вьнідете,2ppia----i
отъ,---------n
града,-s---mg--i
же,---------n
того,-s---og--i
мънозі,-p---mnpsi
вѣровашѧ,3paia----i
вь,---------n
него,3s---mg--i
отъ,---------n
самарѣнъ,-p---mg--i
за,---------n
слово,-s---na--i
женѣ,-s---fd--i
съвѣдѣтельствоуѭшті,-sppafd-si
ѣко,---------n
рече,3saia----i
мі,1s---qd--i
вьсѣ,-p---na--i
еліко,---------n
сътворіхъ,1saia----i
егда,---------n
же,---------n
прідѫ,3paia----i
къ,---------n
немоу,3s---md--i
самарѣне,-p---mn--i
молѣахѫ,3piia----i
і,---------n
да,---------n
бі,3spsa----i
прѣбъілъ,-sspamn-si
оу,---------n
ніхъ,3p---ml--i
і,---------n
прѣбъістъ,3saia----i
тоу,---------n
дъва,-d---ma--i
дьні,-d---ma--i
і,---------n
мъного,-------p-i
паче,-------c-i
вѣровашѧ,3paia----i
за,---------n
слово,-s---na--i
его,3s---mg--i
женѣ,-s---fd--i
глаахѫ,3piia----i
ѣко,---------n
юже,---------n
не,---------n
за,---------n
твоѭ,2s---fa--i
бесѣдѫ,-s---fa--i
вѣроуемъ,1ppia----i
самі,-p---mn--i
бо,---------n
слъішахомъ,1paia----i
і,---------n
вѣмъ,1ppia----i
ѣко,---------n
сь,-s---mn--i
естъ,3spia----i
въ,---------n
істінѫ,-s---fa--i
спъ,-s---mn--i
міра,-s---mg--i
хъ,-s---mn--i
по,---------n
дъвою,-d---ql--i
же,---------n
дъноу,-d---ml--i
ізіде,3saia----i
отътѫдоу,---------n
і,---------n
іде,3saia----i
въ,---------n
галілеѭ,-s---fa--i
самъ,-s---mn--i
бо,---------n
іс,-s---mn--i
съвѣдѣтельствова,3saia----i
ѣко,---------n
пророкъ,-s---mn--i
въ,---------n
своемь,3s---ol--i
отьчьстві,-s---nl--i
не,---------n
іматъ,3spia----i
чісті,--pna----i
егда,---------n
же,---------n
пріде,3saia----i
въ,---------n
галілеѭ,-s---fa--i
пріѧшѧ,3paia----i
і,3s---ma--i
галілѣане,-p---mn--i
вьсѣ,-p---na--i
відѣвъше,-pupamn-si
еліко,---------n
сътворі,3saia----i
въ,---------n
ермѣхъ,-p---ml--i
въ,---------n
праздьнікъ,-s---ma--i
пріде,3saia----i
же,---------n
пакъі,---------n
въ,---------n
кана,---------n
галілеѭ,-s---fa--i
ідеже,---------n
сътворі,3saia----i
отъ,---------n
водъі,-s---fg--i
віно,-s---na--i
бѣ,3siia----i
же,---------n
етеръ,-s---mn--i
црь,-s---mn--i
мѫжь,-s---mn--i
егоже,-s---mg--i
снъ,-s---mn--i
болѣаше,3siia----i
въ,---------n
каперънаоумѣ,-s---ml--i
слъішавъ,-supamn-si
ѣко,---------n
іс,-s---mn--i
пріде,3saia----i
отъ,---------n
іюдеѧ,-s---fg--i
въ,---------n
галілеѭ,-s---fa--i
іде,3saia----i
къ,---------n
немоу,3s---md--i
і,---------n
молѣаше,3siia----i
і,---------n
да,---------n
сънідетъ,3spia----i
і,---------n
цѣлітъ,3spia----i
сна,-s---mg--i
его,3s---mg--i
бѣ,3siia----i
бо,---------n
оуміраѧ,-sppamn-si
рече,3saia----i
же,---------n
къ,---------n
немоу,3s---md--i
іс,-s---mn--i
аште,---------n
знамені,-s---ml--i
і,---------n
чоудесъ,-p---ng--i
не,---------n
відіте,2ppia----i
не,---------n
імате,2ppia----i
вѣръі,-s---fg--i
ѧті,--pna----i
гла,3saia----i
къ,---------n
немоу,3s---md--i
црь,-s---mn--i
мѫжь,-s---mn--i
гі,-s---mv--i
съніді,2spma----i
прѣжде,---------n
даже,---------n
не,---------n
оумьретъ,3spia----i
отрочѧ,-s---nn--i
мое,1s---nn--i
гла,3saia----i
къ,---------n
немоу,3s---md--i
іс,-s---mn--i
іді,2spma----i
снъ,-s---mn--i
твоі,2s---mn--i
жівъ,-s---mnpsi
естъ,3spia----i
і,---------n
вѣрѫ,-s---fa--i
імъ,3p---md--i
чкъ,-s---mn--i
словесі,-s---nd--i
еже,-s---na--i
рече,3saia----i
емоу,3s---md--i
іс,-s---mn--i
ідѣаше,3siia----i
абье,---------n
же,---------n
съходѧштоу,-sppamd-si
емоу,3s---md--i
се,---------n
рабі,-p---mn--i
его,3s---mg--i
сърѣтѫ,3paia----i
і,3s---ma--i
глѭште,-pppamn-si
ѣко,---------n
снъ,-s---mn--i
твоі,2s---mn--i
жівъ,-s---mnpsi
естъ,3spia----i
въпрашааше,3siia----i
же,---------n
часа,-s---mg--i
отъ,---------n
ніхъ,3p---mg--i
въ,---------n
которъі,-s---mn--i
соулѣе,-------c-i
емоу,3s---md--i
бъістъ,3saia----i
рѣшѧ,3paia----i
же,---------n
емоу,3s---md--i
ѣко,---------n
вьчера,---------n
въ,---------n
часъ,-s---ma--i
седмъі,-s---mn--i
оставі,3saia----i
огнь,-s---mn--i
разоумѣ,3saia----i
же,---------n
оць,-s---mn--i
ѣко,---------n
тъ,-s---mn--i
бѣ,3siia----i
часъ,-s---ma--i
въ,---------n
ньже,-s---ma--i
рече,3saia----i
емоу,3s---md--i
іс,-s---mn--i
снъ,-s---mn--i
твоі,2s---mn--i
жівъ,-s---mnpsi
естъ,3spia----i
і,---------n
вѣрова,3saia----i
самъ,-s---mn--i
і,---------n
домъ,-s---ma--i
его,3s---mg--i
вьсь,-s---ma--i
се,---------n
пакъі,---------n
въторое,-s---na--i
чоудо,-s---na--i
сътворі,3saia----i
іс,-s---mn--i
прішьдъ,-supamn-si
въ,---------n
галілеѭ,-s---fa--i
по,---------n
сіхъ,-p---ng--i
же,---------n
бѣ,3siia----i
праздьнікъ,-s---ma--i
іюдеіскъ,-s---mapsi
і,---------n
вьзіде,3saia----i
іс,-s---mn--i
въ,---------n
елмъ,-s---mn--i
естъ,3spia----i
же,---------n
въ,---------n
ермѣхъ,-p---ml--i
на,---------n
овьчі,-s---qlpsi
кѫпѣлі,-s---fl--i
ѣже,-s---fn--i
наріцаетъ,3spia----i
сѧ,3s---qa--i
евреіскъі,---------n
фезда,-s---fn--i
пѧть,-s---fa--i
прітворъ,-p---mg--i
імѫшті,-sppafl-si
вь,---------n
