id|old_id|lemma|annotated|lemma_for_sanity_check|match|vr_lev|vr_status|CSR|CSR_form|imperative|question|HE response|AB response to response|JW comment|lemma_id|pos|true_frequency|frequency|lemma_has_jer|jer_tokens|tokens
11|10|хотѣти|1|хотѣти|хотеть|0.3333333333|||хочу||||||120882|V-|613|811|false|"хоцьть|хоцьши|хъчьть"|"хотѣти|хѡщеть|хотѧ|хочѹ|хотело|хоцьть|хоцць|хоцьши|хоцѫ|хотѣли|хочет|хощет|хощете|хочешь|хочешъ|хотѧше|хощеть|хотѧщихъ|хочеть|хотѧще|хотѣ|хочмеъ|хотѧть|хочемъ|хощемъ|хочю|хоче|хочете|хощеши|хощю|хочеши|хотѧщи|хотѧху|хотѣлъ|хотѣвъ|хощь|хотѧи|хотѧт|хотѧшеть|Хотѧщю|хотѧщю|хочета|хотѧче|хотѣхом|хотѣша|хотѣхъ|хощешь|хотѧща|хотѧщим|хочем|хотѧх|хотѣвшим|хоцю|хотелъ|хотѧхѹ|хоцемъ|хотѣхѹ|хотимъ|хотѣвше|хотѧхуть|хочеш|хощем|хотѧщюю|хотите|хотѧщих|хотѧщимъ|хотꙗть|хотꙗщю|хотꙗше|хотꙗхѹ|хотꙗщи|хотꙗща|хотꙗ|хотꙗщюѹмѹ|хотꙗщихъ|хотꙗщемъ|хотѧщемъ|хотѧщема|хотѧаше|хотиѧ|хотѧхꙋ|хощетъ|хощꙋ|хотели|хотѧци|хотѧчи|хъчьть|хощу|хотѣть|хотим|хотяше|хотяще|хощѹ|Хощу|хотятъ|хотять|хотя|хотят|хочетъ|хотѧщꙋ|хотѧщїи|хотѣх|хотѧщемꙋ|хотѧщемѹ|хотѣл|хотѧщемоу|хѡтѧ|хощоу|хотѧщоу"
12|13|цьркы|1|цьркы|церковь|0.5714285714|||церквей||use a later form?|Won't that point be moot if we are going to operate with a full set of generated forms for LCS? We should then be able to see that the form stems from acc.sg.|||120775|Nb|610|713|true|цр҃ькви|"црк҃ви|цр҃квамъ|ц҃рквамъ|цкр҃вамъ|цр҃кви|цѣрькви|цр҃кьви|цсркви|цр҃квах|ц҃ркви|цр҃квь|цр҃кве|цр҃квии|црк҃вью|црк҃и|цр҃ки|цр҃квхъ|ц҃рквь|ц҃рки|ц҃ркве|црвкъ|црк҃вь|црк҃ве|црк҃вамъ|црк҃вии|цр҃кы|црксви|црк҃ы|церкви|церкы|цр҃ькви|црк҃въ|црк҃ꙑ|цр҃кꙑ|црк҃кꙑ|цр҃ковь|чрк҃ꙑ|цркв҃и|цьрковь|цркв҃ь|црк҃овь|црькꙑ|црк҃ъви|црквь|црьковь|цр҃вь|црк҃вахъ|црк҃вма|церквии|цркв҃хъ|црк҃в|црк҃виі|церковь|цркве|цр҃кв҃и|ц҃рькви|цьркви|цр҃къвь|цр҃ькъвь|цьркъви|цр҃квию|црквамъ|церквеи|црькви|ц҃рквам|цр҃квам|цр҃ков|цр҃квѣ|ц҃рквѣ|цр҃ковъ|црквѣ|црк҃овъ|церквѣ|црквам|ц҃рви|цр҃кв|цркви|цр҃ьковь|ц҃рьковь|цр҃квїи|церковю|цр҃кѡвь|цсрки"
13|11|сътворити|1|сътворити|сотворить|0.2222222222|||сотворю||||||120768|V-|551|742|true|"сътвори|състворихом|сътворю|сътворихъ|сътворихомъ|сътворить|сътворитъ|сътвориши|сътворимъ|сътвориша|сьтвори|сътворих|сътворит"|"сътворѧ|сотворити|сотвориши|сотворѧт|сотворит|сотворих|сотвори|сотворитъ|сотворшїи|сотворѧтъ|створиша|створи|створивше|створити|створѧть|створить|створилъ|створивыи|створимъ|створю|створих|створив|сворить|створил|створьшаго|створихъ|створите|створїлъ|створѧеть|створихом|створше|створили|створенъ|створѧше|створь|створиста|створивъ|створила|створиши|створишь|створим|створї|створивъше|сътвори|стори|створившеѥ|створившю|створшему|створисте|створило|створихом҃|створит|створшии|състворихом|створенаа|сътворити|сътворю|сътворивъша|сътворихъ|сътворивъше|сътворите|сътворихомъ|сътворить|сътворитъ|сътворита|сътворилъ|створихомъ|сътворьшю|сътворивъ|сътворивѣ|створьше|сътвориши|сътворимъ|сътворьша|сътворено|сътворьше|сътвориша|сьтвори|сътворь|створивъшемъ|сътворивъшю|створшимъ|сʼтворить|сътвореныхъ|сʼтворити|сʼтворю|сʼтворимъ|сʼтвориша|сътворим|сʼтвори|сʼтвориши|сътворенъ|сотворите|сотворить|сотвориша|Сотвори|сотворю|сътворих|сътворит|сотворим|сотворя|сотворилъ|сотворили|сотворил|сотворь|сотвориста|сотворивъ|сотвор꙽ше|сотворени|сотворихомъ|сотворихъ|сотвѡри"
14|12|посълати|1|посълати|послать|0.25|||пошлю||derivation: посол|I think we should ignore derivations unless they turn up by themselves|||123319|V-|540|727|true|посъла|"посъли|послѹ|посълалъ|посълѧлѧ|посолале|посолю|послати|послале|посланомъ|пошлетъ|пошлет|послано|пошлешь|пошлеш|послали|пошлють|посланъ|пошлют|послалъ|послал|посла|Посла|послаша|послѣте|посли|послаща|послании|послахъ|послеть|послю|пославши|послахомъ|послють|Посланъ|послаше|пославъ|посланымъ|посстлаа|послевѣ|посласта|послани|посланыи|посланая|послах|пославше|пошлю|пошли|послаш҃|послашь|послана|посл[а|пославша|пошлем|послахом|послалии|послете|посъла|Посълании|посълании|посълани|посълавъшюѹмѹ|посъланаꙗ|посъланомѹ|посълавъшимъ|посълати|посълавъшю|посълавъ|пошлемъ|посланы|послетъ|послала|послать|пославыи|посланїи"
15|15|възяти|1|възяти|взять|0.3333333333|||возьму||||||121054|V-|490|635|true|"възме|возьметь|возьмешь|възму|възмѧше|възмешь|възмете|възѧ|възѧшѧ|възѧша|възѧшь|възѧста|възмуть|възмем|възмевѣ|възметь|възмет|възꙗтъ|възьмеши|възьмемъ|възѧтъ|възьметь|възмемъ|възмьть"|"взѧти|взѧлъ|возметь|возмуть|вземше|възалъ|възме|въз[ѧти]|възѧле|возѧло|возмете|възъми|възми|возми|возметъ|возмет|возмѧ|возмѹтъ|возмѣтъ|взѧть|возмешь|возмѹ|взѧ|взѧша|возьми|вземъ|возьметь|возьмешь|вземши|возмета|взѧх|възма|возмеши|възму|возма|взѧтъ|възмѣте|възмѧше|взѧта|взѧста|взѧхом|възмешь|възмете|возму|възѧ|възѧшѧ|възѧша|възьмъше|възѧшь|възѧста|въземъше|възьми|възѧта|възміте|взѧли|взѧсте|взѧт҃|възмуть|взем|взѧл|възмем|возмемъ|възмевѣ|возмем҃|возмут|възметь|възмет|възꙗти|възьмъ|възьмѣте|възꙗтъ|възьмеши|възѧти|възьмемъ|възѧтъ|възьметь|възѧтѹ|възьмъшю|взѧхъ|возмоуть|възмемъ|взѧт|вземʼше|вземь|вʼзем|оузѧли|взѧле|взѧлѣ|оузѧти|възмьть|возмꙋ|взалъ|взала|взяша|взя|взял|взять|взят|взаша|вȥем|вȥѧти|вȥѧт|взяти|вѕяти|вѕѧти|взяв|взяли|взявъ|възявъ|взялъ|взяла|возмѣшъ|взятъ|взем꙽ше|в꙽зѧ|взѧт꙽|возмѣте|в꙽зѧти|вѕѧ|взятии|вѕят|вѕять|взятого|вѕѧтъ"
16|16|братия|1|братия|братия|0|||братий||||||120670|Nb|467|576|false|"братьѣ|братья|братьи|братьѥ"|"братиꙗ|братьꙗ|бъратьи|братьи|братье|брат[ь]е|братїю|братью|братїи|братию|братьѣ|братья|братя|братю|братьѧ|братѣ|братею|брати|братьею|бртая|брат҃ꙗ|братьѥю|брат҃ѧ|брат҃ею|брт҃ью|брат҃и|брат҃ю|брат҃ѥ|брат҃ѥю|братьѥ|брат҃і|братꙗ|братѥю|брат҃я|братьєю|братиѥ|братие|братии|братиѥю|братиѣ|братиею|брат|братїамъ|братїа|братїе|братѥ|братеи|братіе|Братіе|братьях|брате|братѧ|братїѧ|братїѧм|братїѧми|братїѧмъ|братиѧ|братїею|братїами"
17|17|мужь|1|мужь||0.25||||||Why aren't we using муж as the match here?|Because it shouldn't have been in the list at all :)||120689|Nb|435|575|false|мужь.|"мужь|мужа|мѹжь|мужи|мужѣ|мужемь|мужю|мѹжеви|мѹжъ|мѫжь|муже|мꙋжь|МУЖУ|мѹжеи|мѹжѹ|мѹжи|мѹжемъ|мѹжа|мѹж̏|мѹжей|мѹж|Мѹжѹ|мѹжїе|мужии|мужемъ|мужь.|мужеви|мьжь|мужем|мѹж҃|муж҃|моуж҃|мѹже|мѹж҃и|можи|мужьми|мѹжьмь|моужеи|мꙋжеи|моужь|моужа|мѹжы|мужей|моужи|моужемъ|мꙋжа|мужї|мꙋж|мужъ|муж|мꙋжїе|мѹжем|моужъ|моуж|мꙋжи|моужоу|мꙋжей"
18|19|дъва|1|дъва|два|1|||двух||||||120769|Ma|409|516|true||"в҃|двою|дву|два|двѣ|дъвѣ|дова|в|довѣ|дъва|двѹ|двѣма|.в҃|двема|дъвою|дъвѣма|дъвѹ|двꙋ|двоу|две|двем|двух|двухъ|двоихъ|двоих|В|двꙋх"
19|18|начати|1|начати|начать|0.1666666667|||начну||derivation: начинать. Ignore?|Ignore|||120598|V-|379|540|false|"начьнѹ|начьнѹт"|"начнеть|начнуть|начнеши|начни|начнетъ|начати|начнет|начато|нача|начнемъ|наченшю|начаста|начаша|наченъ|Нача|начша|начаху|нач|начне|началъ|начах|начѧ|начѧша|нацѧша|начатъ|начнете|начнем|начали|начахъ|начать|начьни|начаты|начьнѹ|начьнъшю|начьнѹт|начаше|начахомъ|начат|начяти|Начати|начашя|начяша|начала|начясте|начал|начнꙋ|нач꙽нем|начашѧ|начен꙽шѹ|начахѹ|начатомъ|начнѣмъ|Начаты"
20|24|новъгородьць|1|новъгородьць|новгородец|0.25|||новгородцев||новогородец marginally possible (archaic, toponyms)||||120683|Nb|337|366|true|"новъгородьць|новгородьць|новгородьцевъ|новородьць|новьгородьць"|"нооугородьци|новугородьци|новгородцем|новгородци|новгородцемъ|новгородець|новгородцѣ|новгородьци|новгородцю|новгорьцю|новъгородци|новгорци|новъгородьчемъ|новъгородьць|новгородць|новъгородьце|новгородьце|новгородьць|новъгородици|новъгородьци|новг[оро]дце|новгородьции|Новгородьци|новгородьцемъ|новгородьцихъ|новгородьцї|новгородьче|новгородцї|новгородце|новгородьцевъ|новгородьчемъ|новородьць|новгородцевъ|новгородці|Новгородци|новгороцмъ|новгородцьмъ|наугородцом|новьгородьць|новгородцꙑ"
21|22|жена|1|жена|жена|0|||жён||||||120420|Nb|330|408|false|женъ.|"женою|женѣ|жену|жена|жены|женѹ|жене|ЖЕНѢ|женамъ|женанами|женами|женъ|Женамъ|женъ.|женах|жнеъ|женома|женам|женꙑ|женамі|жено|женꙋ|жен|женоу|женъю|жонъ|жон|Жены|женама"
