lemma|match|vr_lev|vr_status|CSR|CSR_form|imperative|question|HE response||pos
съмотрити|смотреть|0.3333333333|||||why not съмотрѣти??|Sreznevskij has съмотрѣти, but all but one of our infinitive occurrences are съмотрити (and the one съмотрѣти is from Peter I). L-forms are also consistently съмотрил-. and aorist stem is съмотри-. So we actually thought properly about this one!||V-
половьчьскыи|половецкий|0.5||||||||A-
умьрѣти|умереть|||||||||V-
съвьршити|совершить|0.3333333333||||||||V-
цѣлование|целование|0.1111111111||||||||Nb
никъто|никто|0.1666666667||||||||Px
пакость|пакость|1||||||||Nb
въторыи|второй|0.4285714286||||||||Mo
послѣдьнии|последний|0.3||||||||A-
чьрньць|чернец|0.4285714286||||||||Nb
отьчина|вотчина|0.7777777778|||||#irrelevant_irregular_change|||Nb
въздати|воздать|0.2857142857||||||||V-
отъступити|отступить|0.2||||||||V-
съвьршеныи|совершенный|0.3636363636||||||||A-
только|только|0||||||||Df
въвести|ввести|0.1428571429||||||||V-
болѣзнь|болезнь|0.1428571429||||||||Nb
сънити|сойти|0.5|||||#irrelevant_irregular_change|||V-
въспять|вспять|1||||||||Df
ратьныи|ратный|0.7142857143||||||||A-
вълхвъ|волхв|0.3333333333||||||||Nb
въкупѣ|вкупе|0.8333333333||||||||Df
коньчати|кончать|0.25||||||||V-
помочь|помощь|0.1666666667||||||South/East issue||Nb
другъ|друг|||||||||Nb
вънимати|внимать|0.25||||||||V-
человѣчьскыи|человеческий|0.3333333333||||||||A-
льсть|лесть|0.6||||||||Nb
безбожьныи|безбожный|0.2||||||||A-
присьно|присно|0.1428571429||||||||Df
къняжение|княжение|0.1111111111||||||||Nb
събыти|сбыть|0.5714285714||||||||V-
вьрста|верста|0.1666666667||||||||Nb
вѣрьныи|верный|0.4285714286||||||||A-
съмѣти|сметь|0.5||||||||V-
письмо|письмо|0||||||||Nb
чьрныи|чёрный|0.3333333333||||||||A-
пълныи|полный|0.3333333333||||||||A-
пьрстъ|перст|0.8333333333||||||||Nb
дъчи|дочь|||||||||Nb
кънижьныи|книжный|0.3333333333||||||||A-
намѣстьникъ|наместник|0.2727272727||||||||Nb
крьстьныи|крёстный|0.3333333333||||||||A-
съмѣреныи|смиренный|0.4444444444||||||||A-
ростовьць|ростовец|0.2222222222||||||||Nb
выгънати|выгнать|0.25||||||||V-
вълкъ|волк|0.4||||||||Nb
бѣдьныи|бедный|0.4285714286||||||||A-
смьрдъ|смерд|0.3333333333||||||||Nb
съступити|соступить|0.7||||||соступить is in Wiktionary||V-
плъть|плоть|0.2||||||||Nb
вънезаапу|внезапно|0.4444444444|||||#irrelevant_irregular_change|suffix added in Russian, retain?||Df
цѣсарьствовати|царствовать|0.2857142857|||||#irrelevant_irregular_change|||V-
съзъвати|созвать|0.375|||||созывать, #aspect|||V-
овьца|овца|0.2||||||||Nb
умъножити|умножить|0.2222222222||||||||V-
отъходити|отходить|0.6666666667||||||||V-
безаконие|беззаконие|0.1||||||||Nb
пътица|птица|0.1666666667||||||||Nb
печальныи|печальный|0.1111111111||||||||A-
посадьничьство|посадничество|||||||||Nb
противьныи|противный|0.2||||||||A-
вълѣзти|влезть|0.5714285714||||||||V-
сълати|слать|0.5||||||||V-
погънати|погнать|0.375||||||||V-
больныи|больной|0.2857142857||||||||A-
генварь|январь|0.2857142857|||||#irrelevant_irregular_change|||Nb
зълоба|злоба|0.5||||||||Nb
гънати|гнать|0.3333333333||||||||V-
горькыи|горький|0.2857142857||||||||A-
въпити|вопить|0.8571428571||||||||V-
чудьныи|чудный|0.2857142857||||||||A-
только|только|0.4545454545||||||||Dq
польза|польза|0||||||||Nb
пушька|пушка|0.1666666667||||||||Nb
пьсковичь|пскович|||||||||Nb
съпати|спать|0.3333333333||||||||V-
почьто|почто|0.8333333333||||||||Du
тяжькыи|тяжкий|0.4285714286||||||||A-
различьныи|различный|0.2||||||||A-
грѣшьникъ|грешник|0.3333333333||||||||Nb
съгрѣшити|согрешить|0.4444444444||||||||V-
истиньныи|истинный|0.2222222222||||||||A-
олтарь|алтарь|0.1666666667||||||#irrelevant_irregular_change?||Nb
игуменьство|игуменство|0.8181818182||||||||Nb
тысячьскыи|тысяцкий|0.7777777778||||||||A-
рукодѣлие|рукоделие|0.2222222222||||||||Nb
ветъхыи|ветхий|0.4285714286||||||||A-
кляти|клять|0.5||||||||V-
зажещи|зажечь|0.3333333333||||||South/East issue||V-
упъвати|уповать|0.9||||||||V-
стрыи|стрый|||||||||Nb
вьсегды|всегда|0.2857142857||||||#irrelevant_irregular_change?||Df
авъгустъ|август|0.25||||||||Nb
орда|орда|0||||||||Nb
кыевьскыи|киевский|0.4444444444||||||||A-
въздвигнути|воздвигнуть|0.7272727273||||||||V-
вѣньць|венец|0.5||||||||Nb
съложити|сложить|0.25||||||||V-
судия|судья|0.2||||||||Nb
крѣпъкыи|крепкий|0.5||||||||A-
вьрхъ|верх|0.4||||||||Nb
съказывати|сказывать|0.8||||||||V-
желѣзьныи|железный|0.3333333333||||||||A-
бесчисльныи|бесчисленный|0.25||||||||A-
съсудъ|сосуд|0.3333333333||||||||Nb
събирати|собирать|0.25||||||||V-
прославляти|прославлять|0.0909090909||||||||V-
правьдьникъ|праведник|0.2727272727||||||||Nb
вельможа|вельможа|0||||||||Nb
побити|побить|0.1666666667||||||||V-
рожьство|рождество|0.3333333333||||||South/East issue||Nb
съдоровыи|здоровый|0.3333333333||||||||A-
мънихъ|мних|0.5||||||archaic, but is in Wiktionary||Nb
крьстиянинъ|христианин|0.3636363636|||||#irrelevant_irregular_change|||Nb
свѣтьлыи|светлый|0.375||||||||A-
кротъкыи|кроткий|0.375||||||||A-
деревьня|деревня|0.125||||||||Nb
възвѣстити|возвестить|0.8||||||||V-
съблюсти|соблюсти|0.7777777778||||||||V-
мирьскыи|мирской|0.375||||||||A-
къдѣ|где|0.9||||||||Df
мольба|мольба|0||||||||Nb
славьныи|славный|0.25||||||||A-
готьскыи|готский|||||||||A-
ростовьскыи|ростовский|0.2727272727||||||||A-
четвьртыи|четвёртый|0.2222222222||||||||Mo
жьдати|ждать|0.3333333333||||||||V-
мыслити|мыслить|0.8571428571||||||||V-
дъждь|дождь|0.2||||||||Nb
напълнити|наполнить|0.2222222222||||||||V-
постьныи|постный|0.25||||||||A-
прѣзьрѣти|презреть|0.7||||||||V-
ключьникъ|ключник|0.2222222222||||||||Nb
възимати|взымать|0.7272727273||||||||V-
подобьныи|подобный|0.6||||||||A-
веселие|веселье|0.1428571429||||||||Nb
жидовьскыи|жидовский|0.7||||||||A-
съкрушити|сокрушить|0.7777777778||||||||V-
тьмьница|темница|0.625||||||||Nb
чьрниговьскыи|черниговский|0.3076923077||||||||A-
свободьныи|свободный|0.2||||||||A-
платье|платье|0||||||||Nb
жестъкыи|жёсткий, жестокий|0.375||||||||A-
мьстити|мстить|0.2857142857||||||||V-
пъртъ|порт|0.9090909091||||||"порт in the sense ""fabric"" is in Wiktionary"||Nb
отънудь|отнюдь|0.9||||||||Df
дивьныи|дивный|0.2857142857||||||||A-
пятъкъ|пяток|0.5714285714|||||legitimate match, right? The meaning is completely different ('five items', not 'Friday'), but still|I think it's legit||Nb
суждальць|суздалец|||||||||Nb
деньга|деньга|0.1666666667||||||||Nb
въпрашати|вопрошать|0.5||||||#irrelevant_irregular_change||V-
ръвъ|ров|0.5||||||||Nb
съборьныи|соборный, сборный|0.3333333333||||||||A-
ангельскыи|ангельский|0.2||||||||A-
съгорѣти|сгореть|||||||||V-
сътяжати|стяжать|0.7777777778||||||||V-
позъвати|позвать|0.25||||||||V-
въсприяти|воспринять|0.7777777778||||||воспринять added||V-
видѣние|видение|0.1428571429||||||||Nb
пьсъ|пёс|1||||||you don't use ё elsewhere (not in твердый, for example)||Nb
дѣтьскыи|детский|0.5||||||||A-
угърьскыи|угорский|0.7||||||||A-
събрати|собрать|||||||||V-
съмирити|смирить|0.25||||||||V-
сияти|сиять|0.2||||||||V-
цѣсарьствие|царствие|0.2727272727|||||#irrelevant_irregular_change|||Nb
крьстияньскыи|христианский|0.4615384615|||||#irrelevant_irregular_change|||A-
богатьство|богатство|0.1||||||||Nb
ольговъ|Олегов|0.4285714286||||||||A-
къзнь|кознь|0.2||||||||Nb
неправьда|неправда|0.1111111111||||||||Nb
дължьныи|должный|0.375||||||||A-
манастырьскыи|монастырский|0.3076923077||||||#irrelevant_irregular_change?||A-
обѣдьня|обедня|0.875||||||||Nb
съдравыи|здравый|||||||||A-
съвязати|связать|0.25||||||||V-
хълмъ|холм|0.4||||||||Nb
золото|золото|0|||||skip? #orthography|||Nb
шатьръ|шатёр|0.3333333333||||||||Nb
православьныи|православный|0.1538461538||||||||A-
неизреченьныи|неизречённый|0.1538461538||||||||A-
твьрдыи|твердый|0.2857142857||||||||A-
огньныи|огненный|0.375||||||||A-
сънъ|сон|0.5||||||||Nb
обычьныи|обычный|0.25||||||||A-
свиния|свинья|0.1666666667||||||||Nb
литургия|литургия|0||||||||Nb
домашьнии|домашний|0.2222222222||||||||A-
бъчька|бочка|0.3333333333||||||||Nb
съмысльныи|смышлёный|0.8461538462||||||do we count сл > шл as regular change? Probably not?||A-
съходити|сходить|0.25||||||||V-
въпрѣдъ|впредь|0.4285714286||||||||Df
съжалити|сожалеть|0.375||||||#irrelevant_irregular_change?||V-
мьзда|мзда|0.8||||||||Nb
въселити|вселить|0.375||||||||V-
начинати|начинать|0.125||||||||V-
благовѣщение|благовещенье|0.696969697||||||||Nb
послушание|послушание|0||||||||Nb
нѣчьто|нечто|0.3333333333||||||||Px
съвьршати|совершать|0.625|||||different meaning|||V-
домочадьць|домочадец|0.9||||||||Nb
довольныи|довольный|0.1111111111||||||||A-
тѣлесьныи|телесный|0.3333333333||||||||A-
судьно|судно|0.1666666667||||||||Nb
азъбука|азбука|||||||||Nb
устие|устье|0.2|||||no alternation with -ие|||Nb
боярьскыи|боярский|0.3333333333||||||||A-
прилежьно|прилежно|0.1111111111||||||||Df
дьньсь|днесь|1||||||||Df
отъвѣтъ|ответ|0.4285714286||||||||Nb
възъпити|возопить|0.8888888889||||||||V-
упъвание|упование|0.625||||||||Nb
страньныи|странный|0.2222222222||||||||A-
чьрньчьскыи|чернецкий|0.6363636364||||||||A-
възискати|взыскать|0.4444444444||||||||V-
переяславьскыи|переяславский|0.2142857143||||||||A-
нужьныи|нужный|0.2857142857||||||||A-
дръва|дрова|0.2||||||||Nb
наставьникъ|наставник|0.1818181818||||||||Nb
ноябрь|ноябрь|0||||||||Nb
въпросити|вопросить|0.3333333333||||||||V-
потрѣбьныи|потребный|0.7||||||||A-
задьница|задница|0.9|||||keep? Too large meaning discrepancy (inheritance)|if we're not doing manual matching, then surely this one has to go. If we are, I think we could keep it|I think we do!|Nb
володимѣрьць|владимирец|0.4166666667||||||South/East issue||Nb
пльсковьскыи|псковский|0.4166666667||||||||A-
възрастъ|возраст|0.25||||||||Nb
разьно|разно|0.6||||||||Df
съмыслъ|смысл|0.5714285714||||||||Nb
въселеная|вселенная|0.2222222222||||||||Nb
градьскыи|градский, городской|0.5555555556||||||||A-
въскрьсение|воскресение|0.1818181818||||||||Nb
усъпение|успение|0.125||||||||Nb
мьчьтание|мечтание|0.6666666667||||||||Nb
тъщание|тщание|0.7142857143||||||||Nb
ледъ|лёд|0.25||||||||Nb
заутрьня|заутреня|0.125||||||||Nb
рязаньскыи|рязанский|0.3||||||||A-
величьство|величество|0.5||||||||Nb
едъва|едва|0.2||||||||Df
въсияти|воссиять|0.375||||||||V-
вьседьржитель|Вседержитель|0.2307692308||||||||Nb
вышьнии|вышний|0.5555555556||||||||A-
съити|сойти|0.4||||||||V-
разгнѣвати|разгневать|0.2||||||||V-
прѣльстити|прельстить|0.7||||||||V-
съводъ|свод|0.92||||||свод is in Wiktionary||Nb
москъвьскыи|московский|0.3636363636||||||||A-
хрьстолюбьць|христолюбец|0.25||||||||Nb
купьно|купно|1||||||||Df
батюшька|батюшка|||||||||Nb
отъкуду|откуда|0.2857142857|||||#irrelevant_irregular_change|||Du
римьскыи|римский|0.375||||||||A-
естьство|естество|0.125||||||||Nb
прѣжьнии|прежний|0.375||||||||A-
устрьмити|устремить|0.6111111111|||||#reflexive|||V-
възвеселити|возвеселить|0.8333333333|||||#reflexive|||V-
одьржати|одержать|0.625||||||||V-
съмьртьныи|смертный|0.4||||||||A-
непорочьныи|непорочный|0.1818181818||||||||A-
съгрѣшение|согрешение|0.2||||||||Nb
неправьдьныи|неправедный|0.25||||||||A-
кръвавыи|кровавый|0.25||||||||A-
сладъкыи|сладкий|0.375||||||||A-
сколько|сколько|0||||||||Du
бързыи|борзый, борзой|||||||||A-
мощьныи|мощный|0.5714285714||||||||A-
нѣкъгда|некогда|0.75||||||||Df
насилие|насилие|0||||||||Nb
изгънати|изгнать|0.25||||||||V-
полунощьныи|полуночный|0.2727272727||||||South/East issue||A-
сърубити|срубить|||||||||V-
вьсьдѣ|везде|0.6666666667||||||||Df
тьрпѣние|терпение|0.25||||||||Nb
рътъ|рот|0.5||||||||Nb
въскрьснути|воскреснуть|0.2727272727||||||||V-
усънути|уснуть|0.5714285714||||||||V-
заступьникъ|заступник|0.5454545455||||||||Nb
научение|научение|0.25||||||научение is in Wiktionary||Nb
чьрниговьць|черниговец|0.2727272727||||||||Nb
стрѣльць|стрелец|0.375||||||||Nb
мужьство|мужество|0.125||||||||Nb
цѣсарьскыи|царский|0.5|||||#irrelevant_irregular_change|||A-
тъгды|тогда|0.4|||||#irrelevant_irregular_change|||Df
лавъка|лавка|0.1666666667||||||||Nb
вънъ|вон|0.5||||||||Df
польскыи|польский|0.25||||||||A-
въити|войти|||||||||V-
отълучити|отлучить|0.2222222222||||||||V-
българьскыи|болгарский|0.3636363636||||||||A-
отъвѣчати|отвечать|0.3333333333||||||||V-
орьлъ|орёл|0.4||||||||Nb
ближьнии|ближний|0.7142857143||||||||A-
възнести|вознести|0.5625|||||#reflexive|||V-
вънѣ|вне|0.5||||||||R-
невѣрьныи|неверный|0.3333333333||||||||A-
исцѣление|исцеление|0.1111111111||||||||Nb
отъпасти|отпасть|0.25||||||||V-
чьтити|чтить|0.5||||||||V-
съкрыти|скрыть|0.2857142857||||||||V-
призьрѣти|призреть|0.7||||||||V-
праздьновати|праздновать|0.1666666667||||||||V-
овьсъ|овёс|0.4||||||||Nb
прошение|прошение|0||||||||Nb
въсадити|всадить|0.6666666667||||||||V-
прощение|прощение|0||||||||Nb
душевьныи|душевный|0.2222222222||||||||A-
мълчание|молчание|0.125||||||||Nb
съдѣяти|содеять|0.7142857143||||||||V-
въписати|вписать|0.25||||||||V-
ръжь|рожь|||||||||Nb
дъвои|двое|0.4||||||retaining collective numerals||Ma
притъча|притча|0.1428571429||||||||Nb
льгъкыи|легкий|0.5714285714||||||||A-
октябрь|октябрь|0||||||||Nb
исписати|исписать|0.3333333333||||||||V-
пошьлина|пошлина|0.125||||||||Nb
съвести|свести|0.1428571429||||||||V-
мьсть|месть|0.2||||||||Nb
одъва|едва|0.4|||||#irrelevant_irregular_change|||Df
въходити|входить|0.25||||||||V-
възъвати|воззвать|0.5|||||#aspect|||V-
строение|строение|0||||||||Nb
льстити|льстить|0.8||||||||V-
пияньство|пьянство|0.2222222222||||||||Nb
умъножати|умножать|0.2222222222||||||||V-
въкушати|вкушать|0.7777777778||||||||V-
хотѣние|хотение|0.5714285714||||||||Nb
земьныи|земной|0.4285714286||||||||A-
немощьныи|немощный|0.2222222222||||||||A-
рьвьновати|ревновать|0.3||||||||V-
рожение|рождение|0.125||||||South/East issue||Nb
словесьныи|словесный|||||||||A-
изволение|изволение|0.5555555556||||||изволение is archaic, but in Wiktionary||Nb
пьшеница|пшеница|0.125||||||||Nb
въспѣти|воспеть|0.4285714286||||||||V-
разумьныи|разумный|0.2222222222||||||||A-
обилие|обилие|0||||||||Nb
покорение|покорение|0.4444444444||||||||Nb
орудие|орудие|0||||||||Nb
помьнити|помнить|0.25||||||||V-
дьрзнути|дерзнуть|0.25||||||||V-
дългыи|долгий|0.5||||||||A-
скърбьныи|скорбный|0.3333333333||||||||A-
иночьскыи|иноческий|0.3333333333||||||||A-
съпрашивати|спрашивать|0.1818181818||||||||V-
служька|служка|0.4285714286||||||||Nb
татарьскыи|татарский|0.3||||||||A-
възрасти|возрасти|0.25||||||||V-
полотьскыи|полоцкий|0.5||||||||A-
мьрътвыи|мёртвый|||||||||A-
прѣльсть|прелесть|0.875||||||||Nb
въздъхнути|вздохнуть|0.3||||||||V-
пророчьствовати|пророчествовать|0.1333333333||||||||V-
съкровище|сокровище|0.1111111111||||||||Nb
божьство|божество|0.6666666667||||||||Nb
възрадовати|возрадовать|0.6111111111|||||#reflexive|||V-
псалъмъ|псалом|0.2857142857||||||||Nb
страстотьрпьць|страстотерпец|1||||||||Nb
чьтение|чтение|0.1428571429||||||||Nb
проявляти|проявлять|0.1111111111||||||||V-
удьржати|удержать|0.25||||||||V-
утрьнии|утренний|0.375||||||||A-
въздыхание|вздыхание, воздыхание|0.6||||||added, both in Wiktionary||Nb
человѣколюбьць|человеколюбец|0.2142857143||||||||Nb
вечерьня|вечерня|0.125||||||||Nb
съсълати|сослать|0.375||||||||V-
хрьстьныи|крёстный|0.4444444444||||||#irrelevant_irregular_change?||A-
остатъкъ|остаток|0.25||||||||Nb
нельзѣ|нельзя|0.1666666667||||||#irrelevant_irregular_change?||Df
володимѣрьскыи|владимирский|0.5||||||South/East issue||A-
угодьникъ|угодник|0.2222222222||||||||Nb
варяжьскыи|варяжский|0.3||||||||A-
гърдыи|гордый|0.3333333333||||||||A-
мужьскыи|мужской|0.375||||||||A-
въздьржати|воздержать|0.6315789474|||||#reflexive|||V-
съпросити|спросить|0.2222222222||||||||V-
диякъ|дьяк|0.4||||||||Nb
подворие|подворье|0.125||||||||Nb
чьрница|черница|0.875||||||||Nb
възвращати|возвращать|0.2||||||||V-
дьрзновение|дерзновение|0.0909090909||||||||Nb
женьскыи|женский|0.375||||||||A-
равьныи|равный|0.2857142857||||||||A-
въкусити|вкусить|0.625||||||||V-
съставити|составить|0.2222222222||||||||V-
разбити|разбить|0.1428571429||||||||V-
твьрдь|твердь|||||||||Nb
съпасати|спасать|0.25||||||||V-
