torot_word|pos|morph_tag|deep_cleaned|lemma_id|lemma|sentence_id|pres_before|pres_after|text_id|subtitle_id
фареса|Nb|-p---na--i|фареса|0|FIXME|5000002|| |10|1
ӣ|C-|---------n|і|13|и|5000002|| |10|1
зара|Ne|-s---mg--i|зара|0|FIXME|5000002|| · |10|1
ѡ̄̄тъ|R-|---------n|отъ|80|отъ|5000002|| |10|1
тамаръи|Nb|-s---fg--i|тамаръі|0|FIXME|5000002|| · |10|1
фаресъ|V-|-supamn-si|фаресъ|0|FIXME|5000002|| |10|1
же|Df|---------n|же|20|же|5000002|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000002|| |10|1
е̄ср̄ома|Nb|-s---mg--i|есрома|0|FIXME|5000002|| · |10|1
е̄сромь|Nb|-s---mi--i|есромь|0|FIXME|5000002|| |10|1
же|Df|---------n|же|20|же|5000002|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000002|| |10|1
а̄раа̄ма|Ne|-s---mg--i|араама|0|FIXME|5000002|| ·|10|1
А̄раа̄мъ|Nb|-p---fd--i|араамъ|0|FIXME|5000003| | |10|1
же|Df|---------n|же|20|же|5000003|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000003|| |10|1
а̄мінадава|A-|-s---fnpsi|амінадава|2570|аминадавовъ|5000003|| · |10|1
а̄мінадавъ|V-|-supamn-si|амінадавъ|0|FIXME|5000003|| |10|1
же|Df|---------n|же|20|же|5000003|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000003|| · |10|1
Насс̆она|Ne|-s---mg--i|нассона|0|FIXME|5000003|| · |10|1
насс̆о̄нъ|Nb|-s---ma--i|нассонъ|0|FIXME|5000003|| |10|1
же|Df|---------n|же|20|же|5000003|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000003|| |10|1
сальмона|Ne|-s---mg--i|сальмона|2379|саломи|5000003|| ·|10|1
Салм̄онъ|Ne|-s---mn--i|салмонъ|0|FIXME|5000004| | |10|1
же|Df|---------n|же|20|же|5000004|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000004|| |10|1
Воо҅за|Nb|-s---fn--i|вооза|0|FIXME|5000004|| |10|1
о$т@|R-|---------n|от|80|отъ|5000004|| |10|1
рахавъі|A-|-supamn-wi|рахавъі|0|FIXME|5000004|| · |10|1
Воо̄зь|Nb|-s---mn--i|воозь|0|FIXME|5000004|| |10|1
же|Df|---------n|же|20|же|5000004|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000004|| |10|1
о҅віо̄да|Ne|-s---mg--i|овіода|0|FIXME|5000004|| · |10|1
(ѡ҅҅тъ|R-|---------n|отъ|80|отъ|5000004|| |10|1
ротъі)|Nb|-p---fn--i|ротъі|0|FIXME|5000004|| · |10|1
О̄вио҅̄дъ|Nb|-p---mg--i|овіодъ|0|FIXME|5000004|| |10|1
же|Df|---------n|же|20|же|5000004|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000004|| · |10|1
ӣе̄сеа̄|Ne|-s---mg--i|іесеа|0|FIXME|5000004|| ·|10|1
Ӣе̄сеӣ|V-|-s---fd--i|іесеі|0|FIXME|5000005| | |10|1
же|Df|---------n|же|20|же|5000005|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000005|| |10|1
д҃да|Nb|-s---mg--i|дда|0|FIXME|5000005|| |10|1
ц҃рѣ|Nb|-s---mg--i|црѣ|275|цѣсарь|5000005|| · |10|1
д҃дъ|Ne|-s---mn--i|ддъ|1246|давꙑдъ|5000005|| |10|1
же|Df|---------n|же|20|же|5000005|| |10|1
ц҃рь|Nb|-s---mn--i|црь|275|цѣсарь|5000005|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000005|| |10|1
соломона|Ne|-s---mg--i|соломона|833|соломонъ|5000005|| |10|1
ѡ$т@|R-|---------n|от|80|отъ|5000005|| |10|1
ѹ̄ріӣнъіѩ̄|A-|-p---mapwi|оуріінъіѧ|0|FIXME|5000005|| ·|10|1
Соломонъ|Ne|-s---mn--i|соломонъ|833|соломонъ|5000006| | |10|1
же|Df|---------n|же|20|же|5000006|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000006|| · |10|1
ровоа̄ма|Nb|-s---mg--i|ровоама|3325|ровъ|5000006|| · |10|1
Ровоа̄мъ|Nb|-p---fd--i|ровоамъ|3325|ровъ|5000006|| |10|1
же|Df|---------n|же|20|же|5000006|| |10|1
роди|V-|3saia----i|роді|1195|родити#1|5000006|| |10|1
а̄віа̄да|Ne|-s---mg--i|авіада|2094|авиатаръ|5000006|| · |10|1
А̄віа̄дъ|Ne|-s---mn--i|авіадъ|2094|авиатаръ|5000006|| |10|1
же|Df|---------n|же|20|же|5000006|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000006|| |10|1
а̄сс̆а|Ne|-s---mg--i|асса|0|FIXME|5000006|| ·|10|1
А̄сс̄̄ь|Nb|-s---mn--i|ассь|0|FIXME|5000007| | |10|1
же|Df|---------n|же|20|же|5000007|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000007|| |10|1
ӣо̄а̄сафата|F-|---------n|іоасафата|0|FIXME|5000007|| · |10|1
ӣо̄а̄сафатъ|V-|3spia----i|іоасафатъ|0|FIXME|5000007|| |10|1
же|Df|---------n|же|20|же|5000007|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000007|| |10|1
ӣо̄а̄рама|Nb|-s---mg--i|іоарама|0|FIXME|5000007|| · |10|1
Ӣо̄а̄рамь|Ne|-s---mn--i|іоарамь|0|FIXME|5000007|| |10|1
же|Df|---------n|же|20|же|5000007|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000007|| |10|1
ӣо̄зіѭ̄|Nb|-s---fi--i|іозіѭ|0|FIXME|5000007|| ·|10|1
Ӣо̄зіѣ̄|Nb|-s---ng--i|іозіѣ|0|FIXME|5000008| | |10|1
же|Df|---------n|же|20|же|5000008|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000008|| |10|1
ӣо̄а̄тама|Ma|-d---fd--i|іоатама|0|FIXME|5000008|| · |10|1
ӣо̄а̄тамь|Nb|-s---mn--i|іоатамь|0|FIXME|5000008|| |10|1
же|Df|---------n|же|20|же|5000008|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000008|| |10|1
а̄хаза|Nb|-s---fn--i|ахаза|0|FIXME|5000008|| · |10|1
А̄хазь|V-|2spma----i|ахазь|0|FIXME|5000008|| |10|1
же|Df|---------n|же|20|же|5000008|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000008|| |10|1
ӣе̄зекіѭ̄|Nb|-s---fa--i|іезекіѭ|0|FIXME|5000008|| ·|10|1
ӣе̄зекіѣ̄|Ne|-s---mn--i|іезекіѣ|0|FIXME|5000009| | |10|1
же|Df|---------n|же|20|же|5000009|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000009|| |10|1
манасиѭ̄|Ne|-s---ma--i|манасіѭ|7377|манасиꙗ|5000009|| · |10|1
манасіӣ|Ne|-s---mn--i|манасіі|3799|манасии|5000009|| |10|1
же|Df|---------n|же|20|же|5000009|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000009|| |10|1
а̄мо̄с̄а|Nb|-s---mg--i|амоса|0|FIXME|5000009|| · |10|1
А̄мось|Nb|-s---mn--i|амось|0|FIXME|5000009|| |10|1
же|Df|---------n|же|20|же|5000009|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000009|| |10|1
ӣо̄сіѭ̄|Nb|-s---fa--i|іосіѭ|0|FIXME|5000009|| ·|10|1
Ӣо̄сіа̄|Ne|-s---mg--i|іосіа|1389|иосифъ|5000010| | |10|1
же|Df|---------n|же|20|же|5000010|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000010|| |10|1
ӣо̄хоніѭ̄|Ne|-s---fa--i|іохоніѭ|0|FIXME|5000010|| · |10|1
и|C-|---------n|і|13|и|5000010|| |10|1
братиѭ̄|Nb|-s---fa--i|братіѭ|290|братриꙗ|5000010|| |10|1
е̄го|Pp|3s---mg--i|его|64|и|5000010|| · |10|1
Въ|R-|---------n|въ|111|въ|5000010|| |10|1
прѣселеніӣ|Nb|-s---nl--i|прѣселеніі|3822|прѣселѥниѥ|5000010|| |10|1
вавілонстѣа̄мь|A-|-s---mlpwi|вавілонстѣамь|4262|вавѵлоньскъ|5000010|| ·|10|1
По|R-|---------n|по|77|по|5000011| | |10|1
прѣселениӣ|Nb|-puppmn-wi|прѣселеніі|3822|прѣселѥниѥ|5000011|| |10|1
же|Df|---------n|же|20|же|5000011|| |10|1
вавілоньстѣ|A-|-s---flpsi|вавілоньстѣ|4262|вавѵлоньскъ|5000011|| · |10|1
Ӣо̄хониѣ̄|Nb|-s---mg--i|іохоніѣ|0|FIXME|5000011|| |10|1
роди|V-|3saia----i|роді|1195|родити#1|5000011|| |10|1
салатилѣ|Nb|-s---nl--i|салатілѣ|0|FIXME|5000011|| · |10|1
салатіль|V-|-sspamn-si|салатіль|0|FIXME|5000011|| |10|1
же|Df|---------n|же|20|же|5000011|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000011|| |10|1
зоров̄авелѣ|Ne|-s---mg--i|зоровавелѣ|0|FIXME|5000011|| ·|10|1
Зоров̄авель|Ne|-s---mn--i|зоровавель|0|FIXME|5000012| | |10|1
же|Df|---------n|же|20|же|5000012|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000012|| · |10|1
А̄віѹ̄да|Ne|-s---mn--i|авіоуда|0|FIXME|5000012|| · |10|1
А̄віѹ̄дъ|Nb|-s---mnpsi|авіоудъ|0|FIXME|5000012|| |10|1
же|Df|---------n|же|20|же|5000012|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000012|| |10|1
е̄лиа̄кіма|Nb|-s---mg--i|еліакіма|0|FIXME|5000012|| · |10|1
е̄лиа̄кимь|A-|-s---ni--i|еліакімь|2560|елиакимовъ|5000012|| |10|1
же|Df|---------n|же|20|же|5000012|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000012|| |10|1
А̄зара|Ne|-s---mg--i|азара|5836|азариꙗ|5000012|| ·|10|1
А̄зарь|Nb|-p---mg--i|азарь|0|FIXME|5000013| | |10|1
же|Df|---------n|же|20|же|5000013|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000013|| |10|1
садока|Nb|-s---mg--i|садока|1446|садъ|5000013|| · |10|1
садокь|Nb|-s---mn--i|садокь|1446|садъ|5000013|| |10|1
же|Df|---------n|же|20|же|5000013|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000013|| |10|1
а̄хі̄на|Nb|-s---mg--i|ахіна|0|FIXME|5000013|| · |10|1
а̄хінъ|A-|-s---mn--i|ахінъ|0|FIXME|5000013|| |10|1
же|Df|---------n|же|20|же|5000013|| |10|1
р҃$о@ді|V-|3saia----i|роді|1195|родити#1|5000013|| |10|1
е̄лиѹ̄да|Ne|-s---mn--i|еліоуда|0|FIXME|5000013|| ·|10|1
е̄ліѹ̄дъ|Nb|-s---mnpsi|еліоудъ|0|FIXME|5000014| | |10|1
же|Df|---------n|же|20|же|5000014|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000014|| |10|1
е̄ліе̄зора|Nb|-s---mg--i|еліезора|0|FIXME|5000014|| · |10|1
Е̄ліе̄зоръ|Nb|-s---mn--i|еліезоръ|0|FIXME|5000014|| |10|1
же|Df|---------n|же|20|же|5000014|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000014|| |10|1
мат҅т̄ана|Ne|-s---mg--i|маттана|1039|матътeи|5000014|| · |10|1
матт̄анъ|V-|-s---mn--i|маттанъ|0|FIXME|5000014|| |10|1
же|Df|---------n|же|20|же|5000014|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000014|| · |10|1
ӣа̄кова|Ne|-s---mg--i|іакова|412|иꙗковъ|5000014|| ·|10|1
ӣа̄ковъ|Ne|-s---mn--i|іаковъ|412|иꙗковъ|5000015| | |10|1
же|Df|---------n|же|20|же|5000015|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000015|| |10|1
ӣо̄сіфа|Ne|-s---mg--i|іосіфа|1389|иосифъ|5000015|| |10|1
мѫжа|Nb|-s---mg--i|мѫжа|70|мѫжь|5000015|| |10|1
мариӣна|A-|-s---ogpsi|марііна|2163|мариинъ|5000015|| · |10|1
ӣз|R-|---------n|із|485|из|5000015|| |10|1
неѩ̄же|Pr|-s---fg--i|неѧже|96|иже|5000015|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000015|| |10|1
сѧ|Pk|3s---qa--i|сѧ|21|себе|5000015|| |10|1
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ|5000015|| · |10|1
наріцае̄мъи|V-|-spppmn-wi|наріцаемъі|68|нарицати|5000015|| |10|1
х҃ъ|Ne|-s---mn--i|хъ|305|христ(ос)ъ|5000015|| ·|10|1
Вьсѣхъ|Px|-p---mg--i|вьсѣхъ|54|вьсь|5000016| | |10|1
же|Df|---------n|же|20|же|5000016|| |10|1
родовъ|Nb|-p---mg--i|родовъ|57|родъ|5000016|| · |10|1
ѡ$т@|R-|---------n|от|80|отъ|5000016|| |10|1
а̄враа̄ма|Ne|-s---mg--i|авраама|960|авраамъ|5000016|| |10|1
до|R-|---------n|до|187|до|5000016|| |10|1
д҃да|Nb|-s---mg--i|дда|0|FIXME|5000016|| · |10|1
Родовъ|Nb|-p---mg--i|родовъ|57|родъ|5000016|| |10|1
г҃ꙇ҃|Nb|-s---mv--i|гі|342|господь|5000016|| |10|1
те|Pp|2s---ma--i|те|304|тꙑ|5000016|| : |10|1
Ӣ|C-|---------n|і|13|и|5000016|| |10|1
ѡ$т@|R-|---------n|от|80|отъ|5000016|| |10|1
д҃да|Nb|-s---mg--i|дда|0|FIXME|5000016|| |10|1
до|R-|---------n|до|187|до|5000016|| |10|1
прѣселениѣ̄|Nb|-s---ng--i|прѣселеніѣ|3822|прѣселѥниѥ|5000016|| |10|1
вавілонс҅каа̄го|A-|-s---ngpwi|вавілонскааго|4262|вавѵлоньскъ|5000016|| · |10|1
Родовъ|Nb|-p---mg--i|родовъ|57|родъ|5000016|| |10|1
г҃ꙇ҃|Nb|-s---mv--i|гі|342|господь|5000016|| |10|1
те|Pp|2s---ma--i|те|304|тꙑ|5000016|| · |10|1
Ӣ|C-|---------n|і|13|и|5000016|| |10|1
ѡ$т@|R-|---------n|от|80|отъ|5000016|| |10|1
прѣселениѣ̄|Nb|-s---ng--i|прѣселеніѣ|3822|прѣселѥниѥ|5000016|| |10|1
вавилон̄с̄каа̄го|A-|-s---ngpwi|вавілонскааго|4262|вавѵлоньскъ|5000016|| |10|1
до|R-|---------n|до|187|до|5000016|| |10|1
х҃а|Ne|-s---mg--i|ха|305|христ(ос)ъ|5000016|| · |10|1
Родовъ|Nb|-p---mg--i|родовъ|57|родъ|5000016|| |10|1
г҃ꙇ҃|Nb|-s---mv--i|гі|342|господь|5000016|| |10|1
те|Pp|---------n|те|304|тꙑ|5000016|| ·|10|1
И҃схво|A-|-s---nnpsi|ісхво|2043|исоухристосовъ|5000017| | |10|1
же|Df|---------n|же|20|же|5000017|| |10|1
р҃одство|Nb|-s---nn--i|родство|0|FIXME|5000017|| |10|1
сіце|Df|---------n|сіце|127|сице|5000017|| |10|1
бъі$с@|V-|3saia----i|бъіс|18|бꙑти|5000017|| · |10|1
о̄брѫченѣ|V-|-suppfd-si|обрѫченѣ|2427|обрѫчити|5000017|| |10|1
бъивьші|V-|-supafd-si|бъівьші|18|бꙑти|5000017|| |10|1
матері|Nb|-s---fd--i|матері|1167|мати|5000017|| |10|1
е̄го|Pp|3s---mg--i|его|64|и|5000017|| |10|1
маріӣ|Ne|-s---fd--i|маріі|660|мариꙗ|5000017|| · |10|1
Ӣо̄сіфові|Ne|-s---md--i|іосіфові|1389|иосифъ|5000017|| · |10|1
прѣжде|Df|---------n|прѣжде|5|прѣжде|5000017|| |10|1
даже|G-|---------n|даже|1921|даже|5000017|| |10|1
не|Df|---------n|не|8|не|5000017|| |10|1
сьнѧсте|V-|2paia----i|сьнѧсте|2373|сънѧти|5000017|| |10|1
сѧ|Pk|3s---qa--i|сѧ|21|себе|5000017|| · |10|1
О̄брѣте|V-|3saia----i|обрѣте|225|обрѣсти|5000017|| |10|1
сѧ|Pk|3s---qa--i|сѧ|21|себе|5000017|| |10|1
ӣмѫщі|V-|-sppafn-si|імѫшті|9|имѣти|5000017|| |10|1
въ|R-|---------n|въ|111|въ|5000017|| |10|1
чрѣвѣ|Nb|-s---nl--i|чрѣвѣ|1287|чрѣво|5000017|| |10|1
ѡ$т@|R-|---------n|от|80|отъ|5000017|| |10|1
д҃ха|Nb|-s---mg--i|дха|442|доухъ|5000017|| |10|1
с҃та|V-|-s---ogpsi|ста|1270|стати|5000017|| ·|10|1
и҃҅схво|A-|-s---nnpsi|ісхво|2043|исоухристосовъ|5000018| | |10|1
же|Df|---------n|же|20|же|5000018|| |10|1
р҃одство|Nb|-s---nn--i|родство|0|FIXME|5000018|| |10|1
сице|Df|---------n|сіце|127|сице|5000018|| ⁛ коц|10|1
Ӣо̄сіфь|Ne|-s---mn--i|іосіфь|1389|иосифъ|5000019| | |10|1
же|Df|---------n|же|20|же|5000019|| |10|1
мѫжь|Nb|-s---mn--i|мѫжь|70|мѫжь|5000019|| |10|1
е̄ѩ̄|Pp|3s---fg--i|еѧ|64|и|5000019|| · |10|1
правьденъ|A-|-s---mnpsi|правьденъ|71|правьдьнъ|5000019|| |10|1
съі|V-|-sppamn-si|съі|18|бꙑти|5000019|| |10|1
ӣ|C-|---------n|і|13|и|5000019|| |10|1
не|Df|---------n|не|8|не|5000019|| |10|1
хотѧ|V-|-sppamn-si|хотѧ|301|хотѣти|5000019|| |10|1
о̄блічіті|V-|--pna----i|облічіті|1564|обличити|5000019|| |10|1
е̄ѩ̄|Pp|3s---fg--i|еѧ|64|и|5000019|| · |10|1
Въсх̄отѣ|V-|3saia----i|въсхотѣ|577|въсхотѣти|5000019|| |10|1
таӣ|Df|---------n|таі|3138|таи|5000019|| |10|1
пѹстіті|V-|--pna----i|поустіті|701|поустити|5000019|| |10|1
ѭ|Pp|3s---fa--i|ѭ|64|и|5000019||҅ ·|10|1
Се|Pd|---------n|се|47|сь|5000020| | |10|1
же|Df|---------n|же|20|же|5000020|| |10|1
е̄мѹ|Pp|3s---md--i|емоу|64|и|5000020|| |10|1
ѹ̄мъішльшѹ|V-|-supamd-si|оумъішльшоу|792|оумꙑти|5000020|| · |10|1
се|I-|---------n|се|419|се|5000020|| |10|1
а҃̄нꙉлъ|Nb|-s---mn--i|англъ|159|ангелъ|5000020|| |10|1
г҃нь|A-|-s---mnpsi|гнь|1671|господьнь|5000020|| |10|1
вь|R-|---------n|вь|111|въ|5000020|| |10|1
сьнѣ|Nb|-s---ml--i|сьнѣ|1974|сънъ|5000020|| |10|1
ѣ̄ви|V-|3saia----i|ѣві|358|авити|5000020|| |10|1
сѧ|Pk|3s---qa--i|сѧ|21|себе|5000020|| |10|1
е̄мѹ|Pp|3s---md--i|емоу|64|и|5000020|| |10|1
г҃лѩ|V-|-sppamn-si|глѧ|102|глаголати|5000020|| · |10|1
Ӣо̄сіфе|Ne|-s---mv--i|іосіфе|1389|иосифъ|5000020|| |10|1
с҃не|Nb|-s---mv--i|сне|341|сꙑнъ#1|5000020|| |10|1
д҃двъ|A-|-s---mvpsi|ддвъ|0|FIXME|5000020|| · |10|1
не|Df|---------n|не|8|не|5000020|| |10|1
ѹ̄боӣ|V-|2spma----i|оубоі|1153|оубоꙗти|5000020|| |10|1
сѧ|Pk|3s---qa--i|сѧ|21|себе|5000020|| |10|1
пріѩ̄ті|V-|--pna----i|пріѧті|165|приѩти|5000020|| |10|1
женъі|Nb|-s---fg--i|женъі|690|жена|5000020|| |10|1
твое̄ѩ̄|Ps|2s---fg--i|твоеѧ|307|твои|5000020|| |10|1
м̄ар̄іѩ̄|Ne|-s---fg--i|маріѧ|660|мариꙗ|5000020|| · ⁛ ⁛ |10|1
сѫштее̄|V-|-sppana-wi|сѫштее|18|бꙑти|5000020|| |10|1
бо|Df|---------n|бо|94|бо|5000020|| |10|1
вь|R-|---------n|вь|111|въ|5000020|| |10|1
неӣ|Pp|3s---fl--i|неі|64|и|5000020|| · |10|1
Ѡ$т@|R-|---------n|от|80|отъ|5000020|| |10|1
д҃ха|Nb|-s---mg--i|дха|442|доухъ|5000020|| |10|1
с҃та|V-|-s---mgpsi|ста|1270|стати|5000020|| |10|1
е̄стъ|V-|3spia----i|естъ|18|бꙑти|5000020|| ·|10|1
Родіт|V-|3spia----i|родіт|1559|родити#2|5000021| | |10|1
же|Df|---------n|же|20|же|5000021|| |10|1
с҃на|Nb|-s---mg--i|сна|341|сꙑнъ#1|5000021|| · |10|1
Ӣ|C-|---------n|і|13|и|5000021|| |10|1
наречеші|V-|2spia----i|наречеші|311|нарещи|5000021|| |10|1
ӣмѧ|Nb|-s---na--i|імѧ|441|имѧ|5000021|| |10|1
е̄мѹ|Pp|3s---md--i|емоу|64|и|5000021|| |10|1
и҃̄съ|Ne|-s---mn--i|ісъ|343|исоусъ|5000021|| · |10|1
тъ|Pd|-s---mn--i|тъ|105|тъ|5000021|| |10|1
бо|Df|---------n|бо|94|бо|5000021|| |10|1
с҃псетъ|V-|3spia----i|спсетъ|508|съпасти#1|5000021|| |10|1
люді|Nb|-p---ma--i|люді|563|людиѥ|5000021|| |10|1
своѩ̄|Pt|3p---pa--i|своѧ|217|свои|5000021|| |10|1
о̄ть|R-|---------n|оть|80|отъ|5000021|| |10|1
грѣхъ|Nb|-p---mg--i|грѣхъ|406|грѣхъ|5000021|| |10|1
ӣхъ|Pp|3p---mg--i|іхъ|64|и|5000021|| ·|10|1
Се|Pd|-s---na--i|се|47|сь|5000022| | |10|1
же|Df|---------n|же|20|же|5000022|| |10|1
вьсе|Px|-s---na--i|вьсе|54|вьсь|5000022|| |10|1
бъі$с@|V-|3saia----i|бъіс|18|бꙑти|5000022|| · |10|1
да|G-|---------n|да|366|да|5000022|| |10|1
събѫдет|V-|3sfia----i|събѫдет|977|събꙑти|5000022|| |10|1
сѧ|Pk|3s---qa--i|сѧ|21|себе|5000022|| |10|1
реченое̄|V-|-suppnn-wi|реченое|106|рещи|5000022|| |10|1
о̄тъ|R-|---------n|отъ|80|отъ|5000022|| |10|1
г҃а|Nb|-s---mg--i|га|342|господь|5000022|| ⁛ |10|1
исаӣе̄м|Nb|-supamn-si|ісаіем|0|FIXME|5000022|| |10|1
п҃рркмъ|Nb|-p---md--i|прркмъ|0|FIXME|5000022|| |10|1
г҃лщемъ|V-|-pppamd-si|глштемъ|102|глаголати|5000022|| ·|10|1
Се|I-|3s---qa--i|се|419|се|5000023| | |10|1
дѣва|Nb|-s---fn--i|дѣва|663|дѣва|5000023|| |10|1
въ|R-|---------n|въ|111|въ|5000023|| |10|1
чрѣвѣ|Nb|-s---nl--i|чрѣвѣ|1287|чрѣво|5000023|| |10|1
приӣметъ|V-|3spia----i|прііметъ|165|приѩти|5000023|| · |10|1
ӣ|C-|---------n|і|13|и|5000023|| |10|1
родітъ|V-|3spia----i|родітъ|1195|родити#1|5000023|| |10|1
с҃на|Nb|-s---mg--i|сна|341|сꙑнъ#1|5000023|| · |10|1
ӣ|C-|---------n|і|13|и|5000023|| |10|1
нарекѫтъ|V-|3ppia----i|нарекѫтъ|311|нарещи|5000023|| |10|1
ӣмѧ|Nb|-s---na--i|імѧ|441|имѧ|5000023|| |10|1
е̄мѹ|Pp|3s---md--i|емоу|64|и|5000023|| |10|1
е̄нм̄анѹӣль|Ne|-s---mn--i|енманоуіль|0|FIXME|5000023|| · |10|1
Е̄же|Pr|-s---nn--i|еже|96|иже|5000023|| |10|1
е̄стъ|V-|3spia----i|естъ|18|бꙑти|5000023|| |10|1
ськазае̄мо|V-|-spppnn-si|ськазаемо|97|съказати|5000023|| |10|1
сь|R-|---------n|сь|92|съ|5000023|| |10|1
нами|Pp|1p---pi--i|намі|167|мꙑ|5000023|| |10|1
б҃ъ|Nb|-s---mn--i|бъ|34|богъ|5000023|| ·|10|1
Въставъ|V-|-supamn-si|въставъ|972|въстати|5000024| | |10|1
же|Df|---------n|же|20|же|5000024|| |10|1
ӣо̄сіфь|Ne|-s---mn--i|іосіфь|1389|иосифъ|5000024|| |10|1
о̄тъ|R-|---------n|отъ|80|отъ|5000024|| |10|1
сьна|Nb|-s---mg--i|сьна|1974|сънъ|5000024|| · |10|1
сьтворі|V-|3saia----i|сьтворі|73|сътворити|5000024|| |10|1
ѣ̄коже|Dq|---------n|ѣкоже|88|ꙗкоже|5000024|| |10|1
повелѣ|V-|3saia----i|повелѣ|169|повелѣти|5000024|| |10|1
е̄мѹ|Pp|3s---md--i|емоу|64|и|5000024|| |10|1
а҃̄нꙉлъ|Nb|-s---mn--i|англъ|159|ангелъ|5000024|| · |10|1
ӣ|C-|---------n|і|13|и|5000024|| |10|1
приѩ̄тъ|V-|3saia----i|пріѧтъ|165|приѩти|5000024|| |10|1
женѫ|Nb|-s---fa--i|женѫ|690|жена|5000024|| |10|1
св$о@ѭ̄|Pt|3s---fa--i|своѭ|217|свои|5000024|| ·|10|1
ӣ|C-|---------n|і|13|и|5000025| | |10|1
не|Df|---------n|не|8|не|5000025|| |10|1
знаа̄ше|V-|3siia----i|знааше|904|знати|5000025|| |10|1
е̄ѩ̄|Pp|3s---fg--i|еѧ|64|и|5000025|| · |10|1
донд̄еже|G-|---------n|дондеже|674|доньде|5000025|| |10|1
роді|V-|3saia----i|роді|1195|родити#1|5000025|| |10|1
